"Year","Cause","Sex","Deaths7","Deaths8","Deaths9","Deaths10","Deaths26","Deaths2534","Deaths3544","Deaths4559","Deaths6069","Deaths70up"
1996,"X600",2,0,0,0,0,0,0,1,0,0,0
1996,"X610",1,0,0,0,1,0,1,3,0,0,0
1996,"X610",2,0,1,0,1,0,1,1,3,1,0
1996,"X620",1,0,0,1,0,0,0,0,0,0,0
1996,"X620",2,0,0,0,0,0,0,1,0,0,0
1996,"X640",1,0,0,1,3,1,2,6,3,0,1
1996,"X640",2,0,1,1,4,0,6,4,2,0,0
1996,"X650",2,0,0,0,0,0,0,1,0,0,0
1996,"X660",1,0,0,0,1,0,0,1,0,0,0
1996,"X670",1,0,0,0,0,0,1,2,0,0,0
1996,"X680",1,0,0,3,6,1,18,13,10,5,3
1996,"X680",2,0,2,3,4,0,4,6,7,1,1
1996,"X690",1,0,0,3,7,1,12,10,12,4,2
1996,"X690",2,0,0,2,3,0,3,3,1,0,1
1996,"X700",1,1,14,66,134,6,244,253,238,103,64
1996,"X700",2,0,4,26,19,2,48,46,60,23,19
1996,"X710",1,0,0,0,0,0,0,1,0,0,1
1996,"X710",2,0,0,0,0,0,0,1,1,0,0
1996,"X720",1,0,2,5,11,0,20,15,9,4,4
1996,"X720",2,0,0,2,3,0,8,3,7,1,0
1996,"X730",1,0,1,2,3,0,4,3,3,1,0
1996,"X740",1,0,7,32,59,1,84,66,65,32,33
1996,"X740",2,0,3,16,10,0,16,13,10,2,3
1996,"X760",1,0,0,1,1,1,2,0,2,0,1
1996,"X760",2,0,0,2,2,0,4,3,2,4,2
1996,"X780",1,0,0,1,7,1,11,12,11,3,6
1996,"X780",2,0,0,1,0,0,2,0,4,1,1
1996,"X790",1,0,1,6,4,0,6,10,4,4,4
1996,"X790",2,0,0,0,0,0,2,0,3,0,1
1996,"X800",1,0,0,6,4,0,3,4,4,0,4
1996,"X800",2,0,6,3,1,0,5,4,3,0,3
1996,"X830",1,0,0,0,0,0,2,0,1,1,0
1996,"X830",2,0,0,0,0,0,0,1,0,0,0
1996,"X840",1,0,2,9,17,0,30,27,19,10,10
1996,"X840",2,0,1,4,3,0,10,9,4,3,3
1997,"X600",1,0,0,0,1,0,0,0,0,0,0
1997,"X600",2,0,0,0,0,0,1,0,0,0,0
1997,"X610",1,0,0,1,2,0,3,1,1,0,1
1997,"X610",2,0,0,2,1,0,3,2,3,1,0
1997,"X620",1,0,0,0,0,0,0,1,0,0,0
1997,"X640",1,0,0,0,1,0,8,6,9,2,1
1997,"X640",2,0,0,6,5,0,4,4,1,0,0
1997,"X650",1,0,0,1,0,0,0,0,1,0,0
1997,"X650",2,0,0,0,0,0,0,0,1,0,0
1997,"X660",1,0,0,0,0,0,1,1,0,0,0
1997,"X670",1,0,0,0,0,0,1,1,2,0,0
1997,"X680",1,0,0,2,8,0,8,24,22,6,3
1997,"X680",2,0,3,8,5,0,5,6,5,1,1
1997,"X690",1,0,0,3,6,1,10,6,11,2,5
1997,"X690",2,0,2,3,4,0,10,7,7,2,0
1997,"X700",1,1,18,87,159,4,368,307,308,142,112
1997,"X700",2,0,13,27,24,1,57,69,86,26,27
1997,"X710",1,0,0,1,0,1,0,1,1,2,0
1997,"X710",2,0,0,0,0,0,0,1,1,1,1
1997,"X720",1,0,1,8,13,0,10,13,12,10,8
1997,"X720",2,0,2,3,0,0,2,1,1,0,0
1997,"X730",1,0,0,4,2,0,0,2,0,0,1
1997,"X730",2,0,0,1,0,0,1,0,0,0,0
1997,"X740",1,0,1,33,64,2,83,100,85,38,35
1997,"X740",2,0,7,19,12,0,12,24,14,5,4
1997,"X760",1,0,0,0,1,0,7,4,4,3,0
1997,"X760",2,0,0,1,1,0,6,5,6,3,4
1997,"X780",1,0,0,0,3,0,7,9,9,5,5
1997,"X780",2,0,0,0,0,0,3,5,4,0,1
1997,"X790",1,0,0,7,13,0,15,11,7,6,4
1997,"X790",2,0,1,1,3,0,1,5,5,0,4
1997,"X800",1,0,0,0,2,0,1,4,5,0,3
1997,"X800",2,0,0,1,1,0,3,3,2,0,2
1997,"X820",1,0,0,0,0,0,0,1,0,0,0
1997,"X830",1,0,0,0,0,0,1,2,1,0,0
1997,"X840",1,0,2,6,17,0,29,21,20,6,8
1997,"X840",2,0,1,2,2,0,2,10,10,1,3
1998,"X600",1,0,0,0,0,0,1,0,0,0,0
1998,"X610",1,0,0,1,0,0,1,2,0,0,1
1998,"X610",2,0,0,3,0,0,5,1,0,0,1
1998,"X620",2,0,0,1,0,0,0,0,0,0,0
1998,"X630",1,0,0,0,2,0,1,0,0,0,0
1998,"X630",2,0,0,0,0,0,0,1,0,0,0
1998,"X640",1,0,0,1,4,0,9,8,7,2,0
1998,"X640",2,0,0,3,4,0,4,4,4,2,0
1998,"X650",1,0,0,0,0,0,0,0,1,1,0
1998,"X660",2,0,0,0,0,0,0,0,0,0,1
1998,"X670",1,0,0,1,1,0,0,0,0,0,0
